Customer_ID,Card_Number,Card_Type,CVV,Expiry_Date,Limit,Status
484,6497468186628012,Discover,832,2029-04-17,19869.64,Inactive
798,4095742821108661,Discover,892,2029-08-08,46469.1,Blocked
672,9321150317573664,Discover,747,2028-11-07,24293.22,Expired
349,8919237387779208,MasterCard,334,2028-04-27,1576.17,Expired
166,3578468479409754,Visa,276,2029-11-08,7184.86,Expired
657,7210785647774504,American Express,8006,2030-10-02,10999.37,Inactive
754,6135613410949923,Visa,807,2027-06-25,27458.97,Inactive
413,2418166777359890,Discover,944,2026-09-27,17530.32,Active
600,6326663402172533,MasterCard,358,2031-11-02,30771.81,Expired
975,1942962204629406,Discover,952,2029-10-08,27512.96,Blocked
405,9252974725076547,MasterCard,628,2026-06-24,42515.3,Expired
988,0873012295728799,Visa,801,2027-07-06,10660.28,Expired
43,7874469071400195,MasterCard,887,2026-06-05,10650.15,Expired
265,4286135622649668,Visa,643,2029-03-14,15118.08,Expired
875,7570018234495412,Visa,590,2028-01-04,40967.57,Expired
119,1984039699609100,Discover,728,2028-01-19,27250.4,Blocked
284,6925617996304441,American Express,8040,2027-06-14,1712.29,Active
976,7429918530438853,MasterCard,939,2026-05-02,20197.86,Active
524,2472607768100244,Visa,272,2027-02-24,25225.04,Inactive
108,4510238689037443,Discover,834,2026-12-03,13040.16,Expired
914,5308980621857947,American Express,1208,2030-01-10,24739.45,Active
685,8354135045691384,Discover,774,2030-08-22,10438.28,Inactive
130,3381970267055129,Discover,533,2027-02-01,42207.98,Blocked
910,7457531181922318,MasterCard,479,2027-04-05,3453.38,Inactive
934,5340312846828057,Visa,531,2027-02-01,39883.11,Inactive
521,8134137597417645,Visa,965,2031-06-22,25052.14,Inactive
450,7718234685494014,MasterCard,635,2027-03-26,4006.43,Inactive
913,7514096048417454,American Express,9645,2028-05-01,14737.99,Active
242,0673057140317071,American Express,1095,2028-04-10,3477.15,Active
230,7046781608359078,Discover,191,2026-02-26,12127.93,Blocked
857,3385726741741958,American Express,6615,2031-08-11,11862.0,Blocked
183,0347296220838425,Visa,576,2027-12-20,30551.33,Expired
501,7448177821919118,Discover,318,2029-04-11,31264.18,Expired
358,9945172898756229,MasterCard,242,2028-01-07,44999.13,Expired
788,2821347907859278,Visa,102,2030-05-22,15429.89,Active
1,0719171508514263,MasterCard,642,2028-01-08,11334.04,Expired
265,1562051835517157,American Express,6045,2028-08-02,31179.67,Expired
803,2365339320313168,Visa,867,2028-09-02,35875.24,Expired
638,3171226231271733,American Express,4985,2028-04-11,40671.86,Active
920,6460359793403980,MasterCard,522,2030-04-16,7357.53,Inactive
646,7165902630209059,American Express,6343,2028-10-10,24166.59,Expired
38,2224593867359523,MasterCard,750,2027-08-04,47957.93,Active
365,8900707030984518,American Express,8648,2031-07-18,27867.53,Active
572,0807044533981048,American Express,5727,2028-10-12,1276.94,Expired
566,4258354124641164,Visa,773,2031-11-11,21925.67,Active
385,8035398405457125,Discover,522,2030-04-12,29667.34,Active
443,4298312343624595,Discover,492,2026-12-30,47804.61,Inactive
806,4824020170500226,Visa,737,2026-10-10,10328.8,Expired
455,3333430403642927,Discover,927,2029-06-05,47543.54,Expired
457,8276409073891971,Discover,740,2029-05-29,17098.36,Expired
33,2461233684248131,American Express,3641,2028-06-06,43708.94,Expired
617,7809826894044869,MasterCard,107,2032-01-16,20956.01,Blocked
552,1430167891007380,American Express,8343,2028-12-03,47056.51,Blocked
104,3367721196893944,Visa,631,2028-04-27,45869.47,Inactive
376,3728630404450373,MasterCard,170,2028-07-03,18392.95,Expired
7,2946583755708887,American Express,5261,2028-11-20,22495.62,Active
865,9761247851812546,MasterCard,311,2031-03-11,38992.1,Inactive
491,1006131172053860,Visa,438,2031-03-05,40555.37,Expired
77,9283049374809446,Visa,164,2026-10-19,1758.63,Active
840,5620562933147083,MasterCard,567,2028-01-03,10251.42,Inactive
59,6873725354644358,American Express,9951,2031-01-16,32252.03,Expired
884,9247955629315070,MasterCard,436,2029-04-24,30012.27,Inactive
441,8156548791329346,Discover,681,2030-06-14,21611.08,Active
865,0480248131058010,Discover,590,2030-06-19,41500.05,Blocked
708,0384869341912419,Visa,580,2030-08-16,31458.9,Expired
963,9997422076139813,American Express,2406,2028-05-06,42539.54,Expired
257,6156446077331548,American Express,5008,2027-08-29,21285.99,Blocked
785,5571429274528764,MasterCard,950,2027-08-27,39663.63,Inactive
649,8950140765576885,American Express,5167,2028-11-12,40821.7,Active
402,9586656582922897,MasterCard,199,2026-11-08,36193.47,Expired
418,6991906199581551,Visa,879,2026-03-06,46773.56,Blocked
546,5743299904902390,American Express,3838,2031-08-16,1036.88,Expired
356,3157720652987055,Discover,906,2029-12-04,2409.74,Inactive
186,5118341420131453,Visa,316,2029-06-29,18756.58,Active
544,8018633406025308,Visa,853,2029-05-26,44970.43,Blocked
538,4689230376505416,Discover,177,2026-09-14,5611.36,Blocked
14,5980092898616489,MasterCard,117,2027-07-24,6689.35,Active
475,3058046122198988,MasterCard,541,2026-09-17,33123.2,Active
232,4437889346584804,American Express,3841,2027-03-05,28284.36,Inactive
944,1105530782556908,MasterCard,938,2028-02-19,49057.44,Inactive
320,1381130881546617,Discover,884,2029-02-20,4887.22,Inactive
462,5172729881817065,American Express,8082,2026-05-03,24406.64,Inactive
123,5068123884761357,Discover,387,2029-05-21,24789.58,Inactive
824,9776045430082457,American Express,4113,2026-10-01,49935.67,Active
605,7143393171512589,Visa,756,2027-07-17,10362.25,Active
614,0230031657744629,Discover,561,2031-12-27,8164.26,Blocked
54,9088963691750501,MasterCard,321,2029-05-22,27143.48,Blocked
329,0470070780226353,Visa,706,2030-07-19,20675.9,Inactive
714,6850146070270216,American Express,5121,2029-05-22,21229.67,Active
450,5972638451811267,American Express,8607,2031-08-10,6738.48,Blocked
778,6072829338410014,Discover,494,2028-10-03,41141.05,Inactive
613,8963592457479034,MasterCard,712,2030-05-03,34513.74,Active
802,8000950759097737,Discover,736,2027-04-08,28962.67,Blocked
695,2865609120142663,MasterCard,838,2027-01-14,44222.72,Active
570,1479568691884078,Discover,772,2028-11-07,8334.94,Active
863,0255635264243143,Visa,776,2027-07-14,23594.16,Blocked
326,4318352197795932,Discover,350,2027-01-13,32152.32,Expired
388,0037736647023889,MasterCard,514,2028-05-09,30137.6,Expired
686,5402796844296780,Discover,312,2031-05-27,30349.49,Blocked
297,4805434734872738,MasterCard,916,2027-06-17,9236.19,Inactive
705,0472691775405217,American Express,3003,2029-06-20,6369.61,Blocked
307,0651377171146673,MasterCard,634,2029-04-12,48486.31,Inactive
839,4204008613190718,MasterCard,814,2027-03-09,16439.48,Blocked
975,9935120246427831,Discover,999,2031-07-22,49819.89,Expired
463,8429841238562749,Visa,125,2028-09-11,10224.22,Inactive
103,6252810518682846,Visa,569,2029-09-18,25934.4,Blocked
319,3752914219766695,MasterCard,154,2027-07-04,18985.76,Blocked
314,0753465788923474,Discover,786,2028-10-16,33497.99,Expired
854,4510482741155992,American Express,9693,2031-02-08,34867.37,Active
508,9362080832131885,American Express,1169,2027-11-27,38071.92,Expired
928,8059595781205014,MasterCard,852,2027-01-30,33191.18,Blocked
903,1962538677210995,Discover,358,2029-12-21,46141.01,Expired
100,5429361235037376,American Express,6520,2028-04-04,22585.68,Blocked
800,2297772296269905,MasterCard,570,2029-02-15,34639.12,Active
765,7853436686828027,MasterCard,531,2029-01-16,38777.14,Expired
44,1499479972023520,Discover,151,2031-09-21,34890.9,Active
23,8986201389218660,Visa,344,2032-01-18,9506.58,Expired
627,4842791561415446,American Express,4060,2027-01-03,41181.88,Active
885,7636790549652348,American Express,4438,2026-04-11,31504.55,Blocked
572,2551210189833899,Discover,824,2028-04-10,41914.15,Expired
413,6113244275002760,Discover,837,2026-12-07,8495.16,Expired
195,0468051609799699,Discover,351,2029-07-29,29178.75,Blocked
917,7435154325803503,Visa,989,2028-08-22,44638.33,Inactive
686,1867804930853509,Visa,522,2029-01-27,26165.33,Active
27,1671584663941944,Discover,140,2030-08-09,23622.58,Active
336,4753652686605877,MasterCard,401,2029-06-24,28070.85,Blocked
597,7104349853952207,Discover,247,2031-09-22,29896.21,Active
691,9869553187935132,Visa,119,2027-04-21,23021.28,Active
97,4830310143949424,American Express,9118,2029-02-03,18798.05,Active
822,5190778314175484,American Express,3789,2027-06-06,33062.28,Inactive
640,5851101696592859,Discover,551,2030-09-26,6503.45,Expired
924,3650277829646002,Visa,480,2028-06-29,12103.07,Blocked
755,1528119416188942,Visa,894,2030-04-18,34252.67,Active
177,1536426106210262,American Express,4542,2032-01-07,47242.62,Active
297,7123992126039343,American Express,6503,2027-08-29,9468.95,Expired
741,3423482391985752,Visa,532,2026-05-07,28177.71,Active
213,3862501713420049,MasterCard,159,2027-04-09,32547.94,Blocked
130,4248013273032659,American Express,6321,2029-01-07,27400.16,Inactive
411,9214702666012119,Discover,574,2026-05-20,33131.94,Inactive
461,8357751233715781,Discover,776,2032-01-13,23078.25,Blocked
949,0202061585688866,Visa,397,2026-12-19,17124.99,Expired
86,5710125686230191,American Express,5499,2030-10-10,14222.27,Expired
493,4230483068096006,Discover,950,2030-10-08,14769.75,Blocked
611,3799311916393207,MasterCard,337,2030-03-21,25128.95,Active
501,7513021655007441,MasterCard,262,2029-09-02,49853.91,Blocked
890,9450641681524585,MasterCard,764,2031-12-30,42168.35,Active
343,4863973207661359,Visa,938,2026-07-27,35282.11,Blocked
502,0406663790837163,American Express,2861,2031-12-18,18910.95,Inactive
142,5453142911325877,American Express,2437,2029-03-05,35999.24,Inactive
929,1945700788416095,MasterCard,920,2026-10-19,33650.69,Expired
432,3522811992705032,American Express,8506,2031-02-26,49718.72,Expired
873,2196419820902095,MasterCard,287,2030-06-18,29397.28,Blocked
