Customer_ID,Card_Number,Card_Type,CVV,Expiry_Date,Limit,Status
610,5912565888813341,Discover,928,2029-12-22,40850.36,Blocked
174,8463187100977104,MasterCard,317,2026-10-05,46383.29,Expired
253,8560389291100754,Visa,256,2028-09-10,39622.48,Blocked
55,7039803782705141,Discover,439,2030-05-26,30460.98,Blocked
974,3160311377543584,American Express,4356,2030-09-03,36957.02,Active
802,3537229776850914,MasterCard,696,2030-06-22,2505.93,Inactive
203,4433944093093471,Discover,306,2030-03-30,38614.47,Expired
98,7160208530370319,MasterCard,286,2031-01-27,20701.51,Blocked
256,4569138834237324,Visa,654,2027-10-21,26156.02,Blocked
310,6970385282549238,Discover,827,2026-03-19,36557.66,Active
395,7996559784001636,MasterCard,949,2029-04-25,48943.79,Inactive
875,1685187748758975,Discover,178,2027-08-02,42951.2,Active
745,0630950816096939,MasterCard,441,2027-10-11,41640.3,Inactive
929,3051725663846039,Discover,916,2028-06-10,47446.87,Inactive
760,0303616577858320,MasterCard,469,2028-06-09,32123.91,Blocked
452,6536337393134524,American Express,4050,2029-10-01,47580.54,Inactive
960,5594067647756555,American Express,7222,2027-11-06,42478.5,Inactive
881,1897987239401414,MasterCard,342,2030-01-28,13229.79,Blocked
920,0764539992025902,MasterCard,338,2031-11-13,45568.97,Active
467,9053265202990602,Discover,475,2031-09-09,24571.19,Active
407,4377551119145717,MasterCard,304,2028-03-26,31612.18,Inactive
221,9810939793764543,MasterCard,207,2026-11-21,28269.01,Inactive
595,5019712408470160,Visa,182,2028-01-31,20266.77,Blocked
802,8346921403701022,MasterCard,991,2029-11-13,9641.53,Inactive
534,8521323694730075,Discover,463,2030-06-29,10312.06,Inactive
634,4212686870642274,American Express,8406,2027-05-13,7684.09,Blocked
218,7779338020865932,MasterCard,674,2027-06-21,4698.46,Blocked
698,0440616454114273,Discover,759,2029-08-10,11127.14,Active
600,9692335410520144,American Express,7209,2028-09-12,29852.83,Blocked
51,1645940201851453,Discover,207,2028-10-29,6542.83,Blocked
697,8975564647189572,Discover,723,2026-05-05,26487.61,Blocked
244,8917856071251109,MasterCard,360,2030-10-31,36348.47,Active
741,6098721909782338,Visa,319,2026-09-19,31861.94,Blocked
