Customer_ID,Full_name,DOB,Email,Phone_Number,Address,National_ID,Tax_ID,Employment_Status,Annual_Income,Created_At,Updated_At
1,Peter Watson,1940-01-16,karen17@farley.info,3930236691,"230 Brown Bridge, Crystalfurt, IN 29280",9648033200,923567613,Student,191909.45,2021-09-14 06:59:37,2021-08-27 09:25:37
2,Lauren Thompson,2004-11-22,brittanygreen@rodriguez-walker.org,001-760-645-2726x21063,"Unit 5646 Box 4681, DPO AE 83235",1396307986,971729514,Unemployed,137611.05,2024-09-01 02:30:05,2020-05-28 10:44:30
3,April Hanson,1945-10-05,kevin15@hotmail.com,(208)855-6383,"53308 Christine Shoal, Roweborough, TN 90426",4746780197,324059104,Self-Employed,73787.03,2022-05-25 03:10:29,2024-10-18 18:15:19
4,Matthew Crane,1970-10-11,paul88@gmail.com,163.330.0072,"0482 Murray Light Apt. 962, Lake Laura, DE 01322",5526567250,68255445,Self-Employed,151173.9,2021-05-07 12:33:09,2023-12-04 14:24:46
5,Lindsay Cooper,2004-10-31,james29@gmail.com,848.487.4505x03511,"867 Gloria Street Suite 778, West Maria, IL 50674",1998002344,426089361,Self-Employed,51062.43,2021-04-19 08:20:06,2021-08-15 04:04:44
6,Sherri Wilson,1963-09-16,brianna37@yahoo.com,+1-649-563-6368x19512,"92642 Wallace Port, New Kelly, AK 35036",5526656701,978452339,Self-Employed,96518.48,2022-10-29 00:25:32,2022-07-27 16:42:50
7,Robert Obrien,1946-02-26,paula09@yahoo.com,2534376131,"015 William Course Suite 616, Alexanderbury, NJ 15660",9106800498,274609991,Self-Employed,63278.81,2024-08-22 09:26:27,2022-07-12 10:24:23
8,Elizabeth Brown,1988-04-05,boltonrichard@gmail.com,001-764-002-6399x4672,"146 Molly Forge, Lake Michaelmouth, SC 92255",2502472080,638105786,Retired,151052.58,2021-05-16 03:33:45,2020-03-02 01:58:54
9,Andrea Hansen,2001-08-09,clarklaura@white-kent.org,379-703-0970x5452,"993 Wilkinson Mountains, Keithhaven, MO 95231",859211889,633747595,Retired,56456.78,2020-03-21 14:58:41,2023-01-02 07:57:35
10,Robert Ramirez,1939-02-02,allenmichael@hernandez.net,565.578.5761x373,"232 Waller Islands Suite 760, Zamorafurt, WY 39796",8906887021,12777235,Student,114021.17,2024-06-14 18:47:08,2020-04-21 16:50:30
11,Christopher Bailey,1942-01-28,zhodges@wilkinson.com,1545001158,"3857 Susan Burgs Apt. 767, West Bethton, WA 40063",6697538365,753844065,Unemployed,92183.8,2022-02-21 06:58:34,2022-09-16 23:12:33
12,Tracy Li,1978-02-26,phorn@gaines-grant.com,362.945.2910,"8766 Irwin Mount Suite 091, Port Janetberg, AK 14397",8855715921,782973006,Retired,152538.07,2024-09-30 20:23:49,2023-11-18 00:10:05
13,Maria Everett,1987-12-22,charlotteward@payne.com,246-830-1229,"989 Hart Lakes Apt. 900, Nancystad, CO 22582",4262459590,500748613,Retired,58761.81,2022-08-04 22:18:49,2024-06-01 06:20:10
