Employee_ID,Branch_ID,Full_Name,Position,Department_ID,Salary,Hire_Date,Status
1,668,Kyle Gay,Security Officer,18,116049.83,2024-09-04,Resigned
2,581,Christina Garza,HR Manager,18,52823.44,2017-11-19,Resigned
3,388,Dana Blankenship,Credit Analyst,9,84343.19,2017-09-14,Resigned
4,230,Michael Johnson,Credit Analyst,17,117160.76,2017-11-29,Active
5,310,Debbie Smith,Compliance Officer,3,51736.39,2016-01-30,Resigned
6,51,Bruce Phillips,Data Analyst,23,81849.16,2016-11-03,Resigned
7,356,Steven Preston,Investment Advisor,19,46527.65,2023-02-25,Resigned
8,253,Dustin Greene,Customer Service Representative,24,108527.17,2023-08-12,Resigned
9,227,Jennifer Salas,IT Support,22,62076.05,2018-04-08,Resigned
10,497,Elizabeth Taylor MD,Bank Teller,10,43474.71,2020-06-10,Resigned
11,451,Kelly Alvarado,HR Manager,7,119819.65,2020-10-30,On Leave
12,495,Steven Cox,Financial Analyst,21,116525.71,2015-10-21,Active
13,301,Roy Cameron,Risk Manager,14,105442.36,2021-02-16,On Leave
14,446,Adam Mcdonald,Credit Analyst,4,117930.19,2022-11-20,Active
15,218,Matthew Small,Compliance Officer,12,57396.3,2015-03-18,On Leave
16,305,Adam Rodriguez,Loan Officer,15,65831.1,2018-06-29,Active
17,271,Brian Rasmussen,Branch Manager,10,70447.19,2020-11-13,On Leave
18,699,Chad Warren,Financial Analyst,24,62042.23,2024-02-24,On Leave
19,178,Charles Parker,Customer Service Representative,27,37309.24,2022-06-25,Active
20,612,Angela Suarez,Branch Manager,5,94697.89,2023-11-10,On Leave
21,636,Steven Rice,Investment Advisor,21,113205.7,2024-03-30,Resigned
22,530,Nicole Rollins,Investment Advisor,9,118659.06,2020-12-20,On Leave
23,13,Charles Short,Risk Manager,30,118777.38,2015-04-05,Resigned
24,267,Bradley Cross,Security Officer,10,115760.64,2021-05-04,On Leave
25,470,Jessica Sharp,HR Manager,22,70473.15,2016-05-17,Active
26,425,Kyle Montoya,Bank Teller,18,71550.47,2017-07-26,Active
27,54,Samuel Powell,Accountant,23,66436.9,2019-03-30,Active
28,220,Jennifer King,Investment Advisor,27,32663.88,2019-04-17,On Leave
29,641,Zachary Salas,Data Analyst,19,34492.17,2020-11-19,Active
30,260,Kevin Berg,Financial Analyst,22,59399.76,2020-12-01,Resigned
31,544,Randall Huang,Credit Analyst,5,30910.17,2016-05-15,Resigned
32,400,Brian Bennett,Credit Analyst,7,113477.07,2025-01-15,Active
33,594,Brittney Lopez,Financial Analyst,2,117097.13,2018-09-24,Resigned
34,471,Philip Benson DDS,Data Analyst,18,52214.76,2016-06-04,Active
35,403,Deborah Lynch,Financial Analyst,12,94517.18,2021-02-11,Resigned
36,105,Chad Duncan,Branch Manager,13,97887.2,2023-11-22,On Leave
37,436,Diana Sanchez,IT Support,13,109086.66,2018-11-18,On Leave
38,200,Mikayla Jones,Bank Teller,10,54894.93,2016-10-30,Active
39,53,Christina Carpenter PhD,Bank Teller,28,101926.23,2022-04-26,Active
40,333,Rebecca Miller,Data Analyst,17,91714.01,2023-02-17,Resigned
41,443,Mrs. Olivia Salazar,IT Support,3,104309.28,2017-09-09,Active
42,479,Amy Jones,HR Manager,10,119166.34,2018-07-27,Resigned
43,13,Amy Morrison,Branch Manager,21,108981.81,2024-06-11,On Leave
44,367,Veronica Doyle,Loan Officer,27,61917.61,2020-08-28,On Leave
45,153,Alexander Phillips,Investment Advisor,21,60135.32,2020-09-08,On Leave
46,51,Angela White,IT Support,19,41180.05,2020-07-15,Active
47,1,William Henderson,Compliance Officer,10,114532.32,2020-12-10,On Leave
48,558,Sonya Walters,IT Support,21,70526.97,2021-12-07,On Leave
49,20,Rachel Moore,Risk Manager,30,87158.89,2025-02-07,On Leave
50,449,Jerry Weiss,Investment Advisor,14,102028.61,2025-02-17,Active
51,468,Kylie Blair,Risk Manager,24,84633.63,2024-02-23,On Leave
52,467,Brandon Chaney,Security Officer,2,76821.81,2019-07-19,On Leave
53,245,Jason Parks,Credit Analyst,10,107568.83,2020-12-20,On Leave
54,174,Kimberly Valdez,Accountant,27,90421.46,2017-07-30,On Leave
55,448,Robert Crawford,Customer Service Representative,3,67461.71,2020-05-01,On Leave
