Employee_ID,Base_Salary,Bonus,Deductions,Payment_Date
1633,3941.03,0.0,132.2,2025-01-30
1905,3960.85,204.23,161.64,2024-12-20
1330,7721.31,0.0,608.9,2024-12-27
1377,37713.84,4329.66,1560.02,2024-11-24
1628,11420.45,1009.35,988.04,2024-11-23
1198,5970.81,709.22,580.92,2024-09-07
1839,4682.68,640.01,442.89,2024-11-12
1358,5305.52,0.0,434.75,2024-12-29
1932,10353.12,0.0,272.87,2024-09-23
1677,14334.6,1058.62,1148.64,2025-02-08
1780,10132.2,1629.25,961.52,2024-10-10
1032,18650.3,0.0,408.39,2024-10-18
1370,10258.31,1838.95,697.04,2024-10-22
1442,4966.12,630.56,368.68,2024-10-23
1921,4092.45,0.0,136.08,2025-02-05
1471,4469.95,423.65,184.29,2024-10-25
1140,4253.87,306.13,274.83,2025-01-27
1727,5131.51,0.0,131.88,2025-01-22
1426,5485.46,0.0,328.56,2024-09-19
1631,8065.95,1212.75,293.28,2024-11-11
1448,7621.18,892.17,588.34,2024-12-28
1224,3330.31,580.89,77.34,2024-11-27
1818,14340.06,1983.98,289.8,2024-10-03
1765,16431.27,2627.36,1298.46,2024-12-29
1650,3549.31,640.86,216.63,2024-11-28
1162,19464.07,0.0,1545.32,2024-10-28
1168,11916.49,1788.17,747.97,2024-11-26
1718,20957.07,3617.54,1289.69,2024-10-26
1407,22372.22,1900.28,1599.81,2025-01-24
1063,6506.62,0.0,522.02,2024-12-29
1428,5827.04,0.0,499.19,2024-11-20
1373,7928.99,0.0,323.77,2024-09-28
1575,34259.28,3998.83,1288.38,2025-01-13
1521,3952.0,656.16,159.11,2024-12-15
1755,6702.4,1133.22,415.8,2024-11-07
1220,31473.4,0.0,786.82,2024-10-28
1191,10023.81,742.8,625.33,2024-11-14
1327,10143.53,848.73,542.17,2024-10-09
1228,9667.3,1667.46,657.87,2025-02-15
1370,20003.48,2470.85,1130.92,2024-09-25
1209,7502.85,489.56,298.85,2024-09-24
1032,6187.39,601.1,614.69,2024-12-17
1668,6466.33,0.0,256.24,2025-01-07
1445,4530.54,672.54,115.73,2024-11-25
1432,4317.78,423.94,226.65,2024-08-29
1554,7279.48,0.0,421.63,2024-09-03
1846,8041.04,1546.22,353.56,2025-02-06
1089,3917.83,307.34,381.8,2025-01-18
1444,17993.67,2003.71,793.89,2025-01-07
1422,5718.92,688.26,285.04,2025-01-15
1793,4289.22,672.5,160.52,2024-08-23
1653,10902.17,706.4,1002.6,2025-01-04
1740,34496.56,6799.93,1046.16,2024-10-15
1089,5555.95,0.0,424.81,2025-01-12
1926,9390.72,0.0,564.95,2024-10-31
1448,9261.79,0.0,256.28,2024-12-31
1733,18521.14,2277.1,864.03,2024-09-02
1129,8813.61,1124.21,572.15,2024-09-26
1194,11568.72,2078.41,281.25,2025-02-03
1075,10894.94,1076.37,1082.42,2024-12-23
1444,10928.95,689.56,329.2,2024-09-27
1444,6114.85,784.31,601.26,2024-10-21
1228,3163.81,436.71,171.97,2025-01-14
1091,16719.12,1445.75,1553.84,2024-11-06
1188,3841.88,268.42,202.93,2024-11-30
1452,5140.05,348.55,360.9,2025-01-08
1168,5903.85,744.55,192.42,2025-02-10
1140,6020.76,0.0,545.01,2025-01-07
1650,6388.02,0.0,572.59,2024-11-01
1800,11032.94,1838.17,1007.59,2024-09-11
1394,9002.92,0.0,301.1,2025-01-15
1294,3254.22,645.01,323.0,2025-01-13
1808,3961.46,496.94,341.13,2024-12-31
1695,3000.53,372.71,63.04,2024-09-14
1005,5595.49,676.86,255.26,2024-12-04
1155,4012.75,0.0,352.3,2024-11-08
1813,3938.08,218.51,326.45,2024-12-22
1633,9478.9,1700.92,534.28,2024-12-24
1565,3591.83,538.84,165.78,2024-09-01
